date,sku_id,stock_on_hand,stockout_flag,lead_time_days
4/18/21,1,486,0,12
4/19/21,1,393,0,12
4/20/21,1,508,0,12
4/21/21,1,464,0,12
4/22/21,1,467,0,12
4/23/21,1,330,0,12
4/24/21,1,341,0,12
4/25/21,1,361,0,12
4/26/21,1,409,0,12
4/27/21,1,466,0,12
4/28/21,1,394,0,12
4/29/21,1,299,0,12
4/30/21,1,504,0,12
5/1/21,1,467,0,12
5/2/21,1,388,0,12
5/3/21,1,380,0,12
5/4/21,1,484,0,12
5/5/21,1,559,0,12
5/6/21,1,495,0,12
5/7/21,1,374,0,12
5/8/21,1,446,0,12
5/9/21,1,397,0,12
5/10/21,1,327,0,12
5/11/21,1,443,0,12
5/12/21,1,560,0,12
5/13/21,1,542,0,12
5/14/21,1,532,0,12
5/15/21,1,488,0,12
5/16/21,1,345,0,12
5/17/21,1,400,0,12
5/18/21,1,534,0,12
5/19/21,1,356,0,12
5/20/21,1,517,0,12
5/21/21,1,317,0,12
5/22/21,1,451,0,12
5/23/21,1,436,0,12
5/24/21,1,557,0,12
5/25/21,1,500,0,12
5/26/21,1,548,0,12
5/27/21,1,453,0,12
5/28/21,1,361,0,12
5/29/21,1,427,0,12
5/30/21,1,537,0,12
5/31/21,1,408,0,12
6/1/21,1,342,0,12
6/2/21,1,405,0,12
6/3/21,1,548,0,12
6/4/21,1,475,0,12
6/5/21,1,447,0,12
6/6/21,1,309,0,12
6/7/21,1,438,0,12
6/8/21,1,352,0,12
6/9/21,1,491,0,12
6/10/21,1,305,0,12
6/11/21,1,363,0,12
6/12/21,1,356,0,12
6/13/21,1,365,0,12
6/14/21,1,539,0,12
6/15/21,1,509,0,12
6/16/21,1,300,0,12
6/17/21,1,492,0,12
6/18/21,1,514,0,12
6/19/21,1,494,0,12
6/20/21,1,350,0,12
6/21/21,1,537,0,12
6/22/21,1,463,0,12
6/23/21,1,464,0,12
6/24/21,1,520,0,12
6/25/21,1,381,0,12
6/26/21,1,446,0,12
6/27/21,1,506,0,12
6/28/21,1,333,0,12
6/29/21,1,374,0,12
6/30/21,1,473,0,12
7/1/21,1,522,0,12
7/2/21,1,314,0,12
7/3/21,1,311,0,12
7/4/21,1,548,0,12
7/5/21,1,337,0,12
7/6/21,1,396,0,12
7/7/21,1,482,0,12
7/8/21,1,496,0,12
7/9/21,1,522,0,12
7/10/21,1,530,0,12
7/11/21,1,461,0,12
7/12/21,1,572,0,12
7/13/21,1,534,0,12
7/14/21,1,488,0,12
7/15/21,1,373,0,12
7/16/21,1,390,0,12
7/17/21,1,431,0,12
7/18/21,1,316,0,12
7/19/21,1,552,0,12
7/20/21,1,482,0,12
7/21/21,1,503,0,12
7/22/21,1,516,0,12
7/23/21,1,531,0,12
7/24/21,1,392,0,12
7/25/21,1,543,0,12
7/26/21,1,482,0,12
7/27/21,1,444,0,12
7/28/21,1,352,0,12
7/29/21,1,376,0,12
7/30/21,1,313,0,12
7/31/21,1,401,0,12
8/1/21,1,440,0,12
8/2/21,1,561,0,12
8/3/21,1,418,0,12
8/4/21,1,392,0,12
8/5/21,1,530,0,12
8/6/21,1,409,0,12
8/7/21,1,528,0,12
8/8/21,1,332,0,12
8/9/21,1,382,0,12
8/10/21,1,397,0,12
8/11/21,1,407,0,12
8/12/21,1,475,0,12
8/13/21,1,391,0,12
8/14/21,1,293,0,12
8/15/21,1,308,0,12
8/16/21,1,357,0,12
8/17/21,1,486,0,12
8/18/21,1,467,0,12
8/19/21,1,419,0,12
8/20/21,1,432,0,12
8/21/21,1,518,0,12
8/22/21,1,385,0,12
8/23/21,1,539,0,12
8/24/21,1,425,0,12
8/25/21,1,392,0,12
8/26/21,1,442,0,12
8/27/21,1,305,0,12
8/28/21,1,407,0,12
8/29/21,1,457,0,12
8/30/21,1,567,0,12
8/31/21,1,312,0,12
9/1/21,1,475,0,12
9/2/21,1,441,0,12
9/3/21,1,344,0,12
9/4/21,1,293,0,12
9/5/21,1,425,0,12
9/6/21,1,500,0,12
9/7/21,1,506,0,12
9/8/21,1,497,0,12
9/9/21,1,308,0,12
9/10/21,1,432,0,12
9/11/21,1,367,0,12
9/12/21,1,434,0,12
9/13/21,1,497,0,12
9/14/21,1,465,0,12
9/15/21,1,545,0,12
9/16/21,1,389,0,12
9/17/21,1,383,0,12
9/18/21,1,424,0,12
9/19/21,1,545,0,12
9/20/21,1,417,0,12
9/21/21,1,535,0,12
9/22/21,1,505,0,12
9/23/21,1,533,0,12
9/24/21,1,322,0,12
9/25/21,1,450,0,12
9/26/21,1,502,0,12
9/27/21,1,344,0,12
9/28/21,1,481,0,12
9/29/21,1,437,0,12
9/30/21,1,526,0,12
10/1/21,1,352,0,12
10/2/21,1,498,0,12
10/3/21,1,310,0,12
10/4/21,1,326,0,12
10/5/21,1,475,0,12
10/6/21,1,469,0,12
10/7/21,1,443,0,12
10/8/21,1,437,0,12
10/9/21,1,380,0,12
10/10/21,1,465,0,12
10/11/21,1,429,0,12
10/12/21,1,500,0,12
10/13/21,1,557,0,12
10/14/21,1,523,0,12
10/15/21,1,351,0,12
10/16/21,1,346,0,12
10/17/21,1,346,0,12
10/18/21,1,543,0,12
10/19/21,1,406,0,12
10/20/21,1,500,0,12
10/21/21,1,549,0,12
10/22/21,1,484,0,12
10/23/21,1,337,0,12
10/24/21,1,304,0,12
10/25/21,1,402,0,12
10/26/21,1,392,0,12
10/27/21,1,430,0,12
10/28/21,1,531,0,12
10/29/21,1,447,0,12
10/30/21,1,321,0,12
10/31/21,1,416,0,12
11/1/21,1,425,0,12
11/2/21,1,411,0,12
11/3/21,1,478,0,12
11/4/21,1,317,0,12
11/5/21,1,466,0,12
11/6/21,1,491,0,12
11/7/21,1,400,0,12
11/8/21,1,301,0,12
11/9/21,1,487,0,12
11/10/21,1,510,0,12
11/11/21,1,318,0,12
11/12/21,1,507,0,12
11/13/21,1,435,0,12
11/14/21,1,372,0,12
11/15/21,1,482,0,12
11/16/21,1,289,0,12
11/17/21,1,320,0,12
11/18/21,1,507,0,12
11/19/21,1,329,0,12
11/20/21,1,427,0,12
11/21/21,1,363,0,12
11/22/21,1,356,0,12
11/23/21,1,346,0,12
11/24/21,1,435,0,12
11/25/21,1,482,0,12
11/26/21,1,357,0,12
11/27/21,1,385,0,12
11/28/21,1,414,0,12
11/29/21,1,526,0,12
11/30/21,1,407,0,12
12/1/21,1,455,0,12
12/2/21,1,528,0,12
12/3/21,1,437,0,12
12/4/21,1,299,0,12
12/5/21,1,391,0,12
12/6/21,1,490,0,12
12/7/21,1,488,0,12
12/8/21,1,545,0,12
12/9/21,1,391,0,12
12/10/21,1,420,0,12
12/11/21,1,453,0,12
12/12/21,1,517,0,12
12/13/21,1,361,0,12
12/14/21,1,516,0,12
12/15/21,1,410,0,12
12/16/21,1,467,0,12
12/17/21,1,397,0,12
12/18/21,1,525,0,12
12/19/21,1,509,0,12
12/20/21,1,334,0,12
12/21/21,1,417,0,12
12/22/21,1,529,0,12
12/23/21,1,342,0,12
12/24/21,1,527,0,12
12/25/21,1,370,0,12
12/26/21,1,509,0,12
12/27/21,1,379,0,12
12/28/21,1,370,0,12
12/29/21,1,495,0,12
12/30/21,1,458,0,12
12/31/21,1,327,0,12
1/1/22,1,413,0,12
1/2/22,1,307,0,12
1/3/22,1,388,0,12
1/4/22,1,456,0,12
1/5/22,1,344,0,12
1/6/22,1,344,0,12
1/7/22,1,318,0,12
1/8/22,1,512,0,12
1/9/22,1,448,0,12
1/10/22,1,341,0,12
1/11/22,1,561,0,12
1/12/22,1,303,0,12
1/13/22,1,509,0,12
1/14/22,1,472,0,12
1/15/22,1,448,0,12
1/16/22,1,523,0,12
1/17/22,1,503,0,12
1/18/22,1,376,0,12
1/19/22,1,404,0,12
1/20/22,1,398,0,12
1/21/22,1,484,0,12
1/22/22,1,421,0,12
1/23/22,1,558,0,12
1/24/22,1,365,0,12
1/25/22,1,422,0,12
1/26/22,1,475,0,12
1/27/22,1,450,0,12
1/28/22,1,545,0,12
1/29/22,1,408,0,12
1/30/22,1,518,0,12
1/31/22,1,329,0,12
2/1/22,1,300,0,12
2/2/22,1,510,0,12
2/3/22,1,470,0,12
2/4/22,1,441,0,12
2/5/22,1,555,0,12
2/6/22,1,380,0,12
2/7/22,1,352,0,12
2/8/22,1,432,0,12
2/9/22,1,545,0,12
2/10/22,1,314,0,12
2/11/22,1,397,0,12
2/12/22,1,494,0,12
2/13/22,1,507,0,12
2/14/22,1,478,0,12
2/15/22,1,423,0,12
2/16/22,1,556,0,12
2/17/22,1,468,0,12
2/18/22,1,391,0,12
2/19/22,1,310,0,12
2/20/22,1,462,0,12
2/21/22,1,562,0,12
2/22/22,1,317,0,12
2/23/22,1,541,0,12
2/24/22,1,371,0,12
2/25/22,1,465,0,12
2/26/22,1,356,0,12
2/27/22,1,292,0,12
2/28/22,1,503,0,12
3/1/22,1,385,0,12
3/2/22,1,330,0,12
3/3/22,1,465,0,12
3/4/22,1,498,0,12
3/5/22,1,325,0,12
3/6/22,1,320,0,12
3/7/22,1,522,0,12
3/8/22,1,379,0,12
3/9/22,1,349,0,12
3/10/22,1,423,0,12
3/11/22,1,503,0,12
3/12/22,1,392,0,12
3/13/22,1,312,0,12
3/14/22,1,509,0,12
3/15/22,1,418,0,12
3/16/22,1,479,0,12
3/17/22,1,467,0,12
3/18/22,1,416,0,12
3/19/22,1,520,0,12
3/20/22,1,491,0,12
3/21/22,1,454,0,12
3/22/22,1,550,0,12
3/23/22,1,539,0,12
3/24/22,1,527,0,12
3/25/22,1,363,0,12
3/26/22,1,539,0,12
3/27/22,1,362,0,12
3/28/22,1,482,0,12
3/29/22,1,432,0,12
3/30/22,1,521,0,12
3/31/22,1,479,0,12
4/1/22,1,525,0,12
4/2/22,1,506,0,12
4/3/22,1,486,0,12
4/4/22,1,407,0,12
4/5/22,1,505,0,12
4/6/22,1,352,0,12
4/7/22,1,426,0,12
4/8/22,1,446,0,12
4/9/22,1,546,0,12
4/10/22,1,331,0,12
4/11/22,1,472,0,12
4/12/22,1,535,0,12
4/13/22,1,392,0,12
4/14/22,1,307,0,12
4/15/22,1,364,0,12
4/16/22,1,481,0,12
4/17/22,1,543,0,12
4/18/22,1,420,0,12
4/19/22,1,507,0,12
4/20/22,1,562,0,12
4/21/22,1,385,0,12
4/22/22,1,507,0,12
4/23/22,1,437,0,12
4/24/22,1,365,0,12
4/25/22,1,293,0,12
4/26/22,1,421,0,12
4/27/22,1,306,0,12
4/28/22,1,491,0,12
4/29/22,1,329,0,12
4/30/22,1,356,0,12
5/1/22,1,304,0,12
5/2/22,1,428,0,12
5/3/22,1,426,0,12
5/4/22,1,333,0,12
5/5/22,1,303,0,12
5/6/22,1,474,0,12
5/7/22,1,499,0,12
5/8/22,1,524,0,12
5/9/22,1,411,0,12
5/10/22,1,498,0,12
5/11/22,1,519,0,12
5/12/22,1,323,0,12
5/13/22,1,354,0,12
5/14/22,1,316,0,12
5/15/22,1,401,0,12
5/16/22,1,464,0,12
5/17/22,1,304,0,12
5/18/22,1,551,0,12
5/19/22,1,517,0,12
5/20/22,1,441,0,12
5/21/22,1,485,0,12
5/22/22,1,417,0,12
5/23/22,1,421,0,12
5/24/22,1,344,0,12
5/25/22,1,317,0,12
5/26/22,1,482,0,12
5/27/22,1,506,0,12
5/28/22,1,396,0,12
5/29/22,1,383,0,12
5/30/22,1,413,0,12
5/31/22,1,397,0,12
6/1/22,1,496,0,12
6/2/22,1,545,0,12
6/3/22,1,489,0,12
6/4/22,1,419,0,12
6/5/22,1,482,0,12
6/6/22,1,452,0,12
6/7/22,1,568,0,12
6/8/22,1,543,0,12
6/9/22,1,544,0,12
6/10/22,1,352,0,12
6/11/22,1,439,0,12
6/12/22,1,563,0,12
6/13/22,1,321,0,12
6/14/22,1,436,0,12
6/15/22,1,429,0,12
6/16/22,1,315,0,12
6/17/22,1,411,0,12
6/18/22,1,452,0,12
6/19/22,1,328,0,12
6/20/22,1,341,0,12
6/21/22,1,397,0,12
6/22/22,1,482,0,12
6/23/22,1,448,0,12
6/24/22,1,327,0,12
6/25/22,1,340,0,12
6/26/22,1,500,0,12
6/27/22,1,515,0,12
6/28/22,1,554,0,12
6/29/22,1,569,0,12
6/30/22,1,369,0,12
7/1/22,1,482,0,12
7/2/22,1,425,0,12
7/3/22,1,420,0,12
7/4/22,1,573,0,12
7/5/22,1,382,0,12
7/6/22,1,332,0,12
7/7/22,1,336,0,12
7/8/22,1,301,0,12
7/9/22,1,400,0,12
7/10/22,1,314,0,12
7/11/22,1,410,0,12
7/12/22,1,520,0,12
7/13/22,1,365,0,12
7/14/22,1,443,0,12
7/15/22,1,409,0,12
7/16/22,1,541,0,12
7/17/22,1,550,0,12
7/18/22,1,537,0,12
7/19/22,1,432,0,12
7/20/22,1,456,0,12
7/21/22,1,566,0,12
7/22/22,1,466,0,12
7/23/22,1,509,0,12
7/24/22,1,505,0,12
7/25/22,1,475,0,12
7/26/22,1,524,0,12
7/27/22,1,526,0,12
7/28/22,1,518,0,12
7/29/22,1,410,0,12
7/30/22,1,374,0,12
7/31/22,1,371,0,12
8/1/22,1,502,0,12
8/2/22,1,488,0,12
8/3/22,1,521,0,12
8/4/22,1,501,0,12
8/5/22,1,518,0,12
8/6/22,1,320,0,12
8/7/22,1,437,0,12
8/8/22,1,373,0,12
8/9/22,1,383,0,12
8/10/22,1,309,0,12
8/11/22,1,397,0,12
8/12/22,1,387,0,12
8/13/22,1,430,0,12
8/14/22,1,394,0,12
8/15/22,1,380,0,12
8/16/22,1,482,0,12
8/17/22,1,466,0,12
8/18/22,1,387,0,12
8/19/22,1,382,0,12
8/20/22,1,447,0,12
8/21/22,1,469,0,12
8/22/22,1,513,0,12
8/23/22,1,448,0,12
8/24/22,1,572,0,12
8/25/22,1,433,0,12
8/26/22,1,571,0,12
8/27/22,1,421,0,12
8/28/22,1,523,0,12
8/29/22,1,476,0,12
8/30/22,1,545,0,12
8/31/22,1,546,0,12
9/1/22,1,294,0,12
9/2/22,1,355,0,12
9/3/22,1,377,0,12
9/4/22,1,546,0,12
9/5/22,1,298,0,12
9/6/22,1,325,0,12
9/7/22,1,515,0,12
9/8/22,1,517,0,12
9/9/22,1,450,0,12
9/10/22,1,479,0,12
9/11/22,1,313,0,12
9/12/22,1,554,0,12
9/13/22,1,375,0,12
9/14/22,1,505,0,12
9/15/22,1,353,0,12
9/16/22,1,505,0,12
9/17/22,1,405,0,12
9/18/22,1,400,0,12
9/19/22,1,474,0,12
9/20/22,1,499,0,12
9/21/22,1,395,0,12
9/22/22,1,433,0,12
9/23/22,1,448,0,12
9/24/22,1,506,0,12
9/25/22,1,308,0,12
9/26/22,1,451,0,12
9/27/22,1,329,0,12
9/28/22,1,323,0,12
9/29/22,1,373,0,12
9/30/22,1,439,0,12
10/1/22,1,321,0,12
10/2/22,1,450,0,12
10/3/22,1,464,0,12
10/4/22,1,471,0,12
10/5/22,1,558,0,12
10/6/22,1,509,0,12
10/7/22,1,373,0,12
10/8/22,1,330,0,12
10/9/22,1,380,0,12
10/10/22,1,314,0,12
10/11/22,1,430,0,12
10/12/22,1,489,0,12
10/13/22,1,522,0,12
10/14/22,1,297,0,12
10/15/22,1,328,0,12
10/16/22,1,428,0,12
10/17/22,1,321,0,12
10/18/22,1,511,0,12
10/19/22,1,482,0,12
10/20/22,1,455,0,12
10/21/22,1,438,0,12
10/22/22,1,528,0,12
10/23/22,1,537,0,12
10/24/22,1,478,0,12
10/25/22,1,423,0,12
10/26/22,1,431,0,12
10/27/22,1,460,0,12
10/28/22,1,516,0,12
10/29/22,1,502,0,12
10/30/22,1,342,0,12
10/31/22,1,324,0,12
11/1/22,1,417,0,12
11/2/22,1,330,0,12
11/3/22,1,502,0,12
11/4/22,1,449,0,12
11/5/22,1,329,0,12
11/6/22,1,417,0,12
11/7/22,1,513,0,12
11/8/22,1,436,0,12
11/9/22,1,533,0,12
11/10/22,1,406,0,12
11/11/22,1,397,0,12
11/12/22,1,293,0,12
11/13/22,1,407,0,12
11/14/22,1,439,0,12
11/15/22,1,415,0,12
11/16/22,1,360,0,12
11/17/22,1,359,0,12
11/18/22,1,332,0,12
11/19/22,1,426,0,12
11/20/22,1,344,0,12
11/21/22,1,403,0,12
11/22/22,1,391,0,12
11/23/22,1,384,0,12
11/24/22,1,449,0,12
11/25/22,1,462,0,12
11/26/22,1,501,0,12
11/27/22,1,499,0,12
11/28/22,1,458,0,12
11/29/22,1,472,0,12
11/30/22,1,313,0,12
12/1/22,1,344,0,12
12/2/22,1,394,0,12
12/3/22,1,440,0,12
12/4/22,1,490,0,12
12/5/22,1,407,0,12
12/6/22,1,380,0,12
12/7/22,1,470,0,12
12/8/22,1,477,0,12
12/9/22,1,440,0,12
12/10/22,1,422,0,12
12/11/22,1,422,0,12
12/12/22,1,341,0,12
12/13/22,1,312,0,12
12/14/22,1,406,0,12
12/15/22,1,451,0,12
12/16/22,1,566,0,12
12/17/22,1,520,0,12
12/18/22,1,301,0,12
12/19/22,1,461,0,12
12/20/22,1,329,0,12
12/21/22,1,517,0,12
12/22/22,1,318,0,12
12/23/22,1,370,0,12
12/24/22,1,319,0,12
12/25/22,1,447,0,12
12/26/22,1,364,0,12
12/27/22,1,552,0,12
12/28/22,1,340,0,12
12/29/22,1,489,0,12
12/30/22,1,503,0,12
12/31/22,1,376,0,12
1/1/23,1,384,0,12
1/2/23,1,418,0,12
1/3/23,1,376,0,12
1/4/23,1,326,0,12
1/5/23,1,476,0,12
1/6/23,1,483,0,12
1/7/23,1,495,0,12
1/8/23,1,417,0,12
1/9/23,1,488,0,12
1/10/23,1,316,0,12
1/11/23,1,554,0,12
1/12/23,1,300,0,12
1/13/23,1,335,0,12
1/14/23,1,363,0,12
1/15/23,1,361,0,12
1/16/23,1,550,0,12
1/17/23,1,339,0,12
1/18/23,1,477,0,12
1/19/23,1,369,0,12
1/20/23,1,400,0,12
1/21/23,1,380,0,12
1/22/23,1,365,0,12
1/23/23,1,523,0,12
1/24/23,1,487,0,12
1/25/23,1,528,0,12
1/26/23,1,397,0,12
1/27/23,1,338,0,12
1/28/23,1,288,0,12
1/29/23,1,437,0,12
1/30/23,1,418,0,12
1/31/23,1,343,0,12
2/1/23,1,342,0,12
2/2/23,1,353,0,12
2/3/23,1,304,0,12
2/4/23,1,424,0,12
2/5/23,1,524,0,12
2/6/23,1,543,0,12
2/7/23,1,545,0,12
2/8/23,1,413,0,12
2/9/23,1,370,0,12
2/10/23,1,348,0,12
2/11/23,1,336,0,12
2/12/23,1,381,0,12
2/13/23,1,426,0,12
2/14/23,1,549,0,12
2/15/23,1,397,0,12
2/16/23,1,407,0,12
2/17/23,1,435,0,12
2/18/23,1,407,0,12
2/19/23,1,428,0,12
2/20/23,1,545,0,12
2/21/23,1,301,0,12
2/22/23,1,386,0,12
2/23/23,1,435,0,12
2/24/23,1,357,0,12
2/25/23,1,429,0,12
2/26/23,1,348,0,12
2/27/23,1,424,0,12
2/28/23,1,340,0,12
3/1/23,1,341,0,12
3/2/23,1,335,0,12
3/3/23,1,383,0,12
3/4/23,1,426,0,12
3/5/23,1,408,0,12
3/6/23,1,387,0,12
3/7/23,1,464,0,12
3/8/23,1,361,0,12
3/9/23,1,301,0,12
3/10/23,1,510,0,12
3/11/23,1,342,0,12
3/12/23,1,296,0,12
3/13/23,1,410,0,12
3/14/23,1,311,0,12
3/15/23,1,481,0,12
3/16/23,1,556,0,12
3/17/23,1,362,0,12
3/18/23,1,296,0,12
3/19/23,1,304,0,12
3/20/23,1,491,0,12
3/21/23,1,556,0,12
3/22/23,1,390,0,12
3/23/23,1,308,0,12
3/24/23,1,511,0,12
3/25/23,1,508,0,12
3/26/23,1,292,0,12
3/27/23,1,552,0,12
3/28/23,1,334,0,12
3/29/23,1,477,0,12
3/30/23,1,373,0,12
3/31/23,1,450,0,12
4/1/23,1,412,0,12
4/2/23,1,552,0,12
4/3/23,1,376,0,12
4/4/23,1,355,0,12
4/5/23,1,405,0,12
4/6/23,1,535,0,12
4/7/23,1,301,0,12
4/8/23,1,341,0,12
4/9/23,1,442,0,12
4/10/23,1,470,0,12
4/11/23,1,448,0,12
4/12/23,1,455,0,12
4/13/23,1,520,0,12
4/14/23,1,341,0,12
4/15/23,1,537,0,12
4/16/23,1,413,0,12
4/17/23,1,512,0,12
4/18/23,1,376,0,12
4/19/23,1,550,0,12
4/20/23,1,464,0,12
4/21/23,1,420,0,12
4/22/23,1,413,0,12
4/23/23,1,449,0,12
4/24/23,1,514,0,12
4/25/23,1,370,0,12
4/26/23,1,541,0,12
4/27/23,1,314,0,12
4/28/23,1,426,0,12
4/29/23,1,555,0,12
4/30/23,1,452,0,12
5/1/23,1,363,0,12
5/2/23,1,514,0,12
5/3/23,1,298,0,12
5/4/23,1,323,0,12
5/5/23,1,439,0,12
5/6/23,1,407,0,12
5/7/23,1,512,0,12
5/8/23,1,445,0,12
5/9/23,1,540,0,12
5/10/23,1,315,0,12
5/11/23,1,397,0,12
5/12/23,1,369,0,12
5/13/23,1,429,0,12
5/14/23,1,387,0,12
5/15/23,1,422,0,12
5/16/23,1,465,0,12
5/17/23,1,546,0,12
5/18/23,1,472,0,12
5/19/23,1,335,0,12
5/20/23,1,406,0,12
5/21/23,1,332,0,12
5/22/23,1,480,0,12
5/23/23,1,551,0,12
5/24/23,1,532,0,12
5/25/23,1,421,0,12
5/26/23,1,433,0,12
5/27/23,1,411,0,12
5/28/23,1,523,0,12
5/29/23,1,480,0,12
5/30/23,1,422,0,12
5/31/23,1,443,0,12
6/1/23,1,418,0,12
6/2/23,1,541,0,12
6/3/23,1,304,0,12
6/4/23,1,439,0,12
6/5/23,1,498,0,12
6/6/23,1,360,0,12
6/7/23,1,491,0,12
6/8/23,1,435,0,12
6/9/23,1,536,0,12
6/10/23,1,377,0,12
6/11/23,1,533,0,12
6/12/23,1,463,0,12
6/13/23,1,460,0,12
6/14/23,1,322,0,12
6/15/23,1,400,0,12
6/16/23,1,498,0,12
6/17/23,1,325,0,12
6/18/23,1,346,0,12
6/19/23,1,442,0,12
6/20/23,1,513,0,12
6/21/23,1,433,0,12
6/22/23,1,420,0,12
6/23/23,1,489,0,12
6/24/23,1,534,0,12
6/25/23,1,508,0,12
6/26/23,1,499,0,12
6/27/23,1,318,0,12
6/28/23,1,300,0,12
6/29/23,1,544,0,12
6/30/23,1,419,0,12
7/1/23,1,411,0,12
7/2/23,1,506,0,12
7/3/23,1,370,0,12
7/4/23,1,396,0,12
7/5/23,1,549,0,12
7/6/23,1,562,0,12
7/7/23,1,536,0,12
7/8/23,1,444,0,12
7/9/23,1,428,0,12
7/10/23,1,509,0,12
7/11/23,1,320,0,12
7/12/23,1,418,0,12
7/13/23,1,336,0,12
7/14/23,1,474,0,12
7/15/23,1,320,0,12
7/16/23,1,387,0,12
7/17/23,1,372,0,12
7/18/23,1,555,0,12
7/19/23,1,410,0,12
7/20/23,1,463,0,12
7/21/23,1,521,0,12
7/22/23,1,530,0,12
7/23/23,1,454,0,12
7/24/23,1,445,0,12
7/25/23,1,359,0,12
7/26/23,1,530,0,12
7/27/23,1,570,0,12
7/28/23,1,415,0,12
7/29/23,1,470,0,12
7/30/23,1,369,0,12
7/31/23,1,542,0,12
8/1/23,1,455,0,12
8/2/23,1,306,0,12
8/3/23,1,324,0,12
8/4/23,1,489,0,12
8/5/23,1,431,0,12
8/6/23,1,453,0,12
8/7/23,1,449,0,12
8/8/23,1,467,0,12
8/9/23,1,499,0,12
8/10/23,1,359,0,12
8/11/23,1,516,0,12
8/12/23,1,391,0,12
8/13/23,1,361,0,12
8/14/23,1,318,0,12
8/15/23,1,529,0,12
8/16/23,1,510,0,12
8/17/23,1,461,0,12
8/18/23,1,394,0,12
8/19/23,1,353,0,12
8/20/23,1,334,0,12
8/21/23,1,300,0,12
8/22/23,1,548,0,12
8/23/23,1,364,0,12
8/24/23,1,371,0,12
8/25/23,1,347,0,12
8/26/23,1,424,0,12
8/27/23,1,428,0,12
8/28/23,1,433,0,12
8/29/23,1,456,0,12
8/30/23,1,415,0,12
8/31/23,1,470,0,12
9/1/23,1,451,0,12
9/2/23,1,535,0,12
9/3/23,1,316,0,12
9/4/23,1,378,0,12
9/5/23,1,451,0,12
9/6/23,1,480,0,12
9/7/23,1,486,0,12
9/8/23,1,425,0,12
9/9/23,1,482,0,12
9/10/23,1,401,0,12
9/11/23,1,433,0,12
9/12/23,1,370,0,12
9/13/23,1,487,0,12
9/14/23,1,317,0,12
9/15/23,1,494,0,12
9/16/23,1,420,0,12
9/17/23,1,452,0,12
9/18/23,1,531,0,12
9/19/23,1,525,0,12
9/20/23,1,492,0,12
9/21/23,1,316,0,12
9/22/23,1,524,0,12
